Block (x, y) -> (dx, dy, SAD)
Block (90, 114) -> (-8, 0, 300)
Block (92, 114) -> (8, 0, 200)
Block (93, 114) -> (-8, -8, 600)
Block (94, 114) -> (-8, -8, 0)
Block (95, 114) -> (0, -8, 0)
Block (96, 114) -> (0, -8, 0)
Block (97, 114) -> (-8, 0, 300)
Block (19, 115) -> (8, -8, 0)
Block (54, 115) -> (0, 8, 950)
Block (55, 115) -> (8, -8, 0)
Block (19, 116) -> (8, -8, 200)
Block (54, 116) -> (0, 8, 750)
Block (19, 117) -> (0, -8, 650)
Block (20, 117) -> (0, -8, 0)
Block (54, 117) -> (-8, 8, 350)
Block (19, 118) -> (0, -8, 0)
Block (20, 118) -> (8, 0, 200)
Block (21, 118) -> (0, -8, 0)
Block (21, 119) -> (8, 0, 350)
Block (22, 119) -> (0, -8, 450)
Block (23, 119) -> (0, -8, 0)
Block (24, 119) -> (0, -8, 0)
Block (26, 119) -> (0, -8, 0)
Block (27, 119) -> (0, -8, 50)
Block (28, 119) -> (0, -8, 350)
Block (29, 119) -> (0, -8, 0)
Block (23, 120) -> (-8, -8, 450)
Block (28, 120) -> (8, 0, 0)
Block (29, 120) -> (8, 0, 350)
Block (30, 120) -> (0, -8, 0)
Block (31, 120) -> (0, -8, 0)
Block (35, 120) -> (0, -8, 150)
Block (36, 120) -> (0, -8, 0)
Block (43, 120) -> (0, -8, 0)
Block (50, 120) -> (8, -8, 250)
Block (30, 121) -> (-8, -8, 300)
Block (31, 121) -> (-8, -8, 400)
Block (32, 121) -> (-8, -8, 1100)
Block (34, 121) -> (-8, 0, 400)
Block (36, 121) -> (8, 0, 200)
Block (37, 121) -> (0, -8, 300)
Block (38, 121) -> (0, -8, 0)
Block (39, 121) -> (0, -8, 0)
Block (40, 121) -> (0, -8, 0)
Block (41, 121) -> (-8, 0, 50)
Block (43, 121) -> (8, 0, 350)
Block (44, 121) -> (0, -8, 0)
Block (45, 121) -> (0, -8, 0)
Block (46, 121) -> (0, -8, 0)
Block (47, 121) -> (0, -8, 0)
Block (48, 121) -> (-8, 0, 150)
Block (38, 122) -> (-8, -8, 350)
Block (39, 122) -> (-8, -8, 1150)
Block (44, 122) -> (-8, -8, 150)
Block (45, 122) -> (-8, -8, 750)
